BrakeTestLog08.txt
Time,LeftWheel,RightWheel,OutputShaft,Brake1,Brake2
0.459000,0.000000,0.000000,0.000000,1.581938,0.502688
0.559000,0.000000,0.000000,0.000000,1.580625,0.503625
0.676000,0.000000,0.000000,0.000000,1.644000,0.504938
0.794000,0.000000,0.000000,0.000000,1.730813,0.517875
0.911000,0.000000,0.000000,0.000000,1.900125,0.530813
1.028000,0.000000,0.000000,0.000000,1.947750,0.533625
1.145000,0.000000,0.000000,0.000000,1.927875,0.532687
1.262000,0.000000,0.000000,0.000000,1.916250,0.533813
1.380000,0.000000,0.000000,0.000000,1.966313,0.534938
1.497000,0.000000,0.000000,0.000000,2.073937,0.549000
1.614000,0.000000,0.000000,0.000000,2.254688,0.576000
1.731000,0.000000,0.000000,0.000000,2.746687,0.620625
1.849000,0.000000,0.000000,0.000000,2.974875,0.638438
1.966000,0.000000,0.000000,0.000000,3.069188,0.643125
2.083000,0.000000,0.000000,0.000000,3.272438,0.673500
2.200000,0.000000,0.000000,0.000000,3.395625,0.679313
2.318000,0.000000,0.000000,0.000000,3.379500,0.678563
2.435000,0.000000,0.000000,0.000000,3.367125,0.677813
2.552000,0.000000,0.000000,0.000000,3.356062,0.677250
2.670000,0.000000,0.000000,0.000000,3.347250,0.676875
2.787000,0.000000,0.000000,0.000000,3.341625,0.677250
2.904000,0.000000,0.000000,0.000000,3.336375,0.676500
3.021000,0.000000,0.000000,0.000000,3.330938,0.675750
3.139000,0.000000,0.000000,0.000000,3.325500,0.675563
3.256000,0.000000,0.000000,0.000000,3.323250,0.674812
3.373000,0.000000,0.000000,0.000000,3.319688,0.675000
3.491000,0.000000,0.000000,0.000000,3.318000,0.675375
3.608000,0.000000,0.000000,0.000000,3.314438,0.675563
3.725000,0.000000,0.000000,0.000000,3.310313,0.674812
3.842000,0.000000,0.000000,0.000000,3.308625,0.675000
3.960000,0.000000,0.000000,0.000000,3.306937,0.675188
4.077000,0.000000,0.000000,0.000000,3.304688,0.674438
4.194000,0.000000,0.000000,0.000000,3.301687,0.675000
4.312000,0.000000,0.000000,0.000000,3.299625,0.674812
4.429000,0.000000,0.000000,0.000000,3.297938,0.674438
4.546000,0.000000,0.000000,0.000000,3.295125,0.674250
4.663000,0.000000,0.000000,0.000000,3.291938,0.673875
4.781000,0.000000,0.000000,0.000000,3.288563,0.673500
4.898000,0.000000,0.000000,0.000000,3.286313,0.673688
