BrakeTestLog07.txt
Time,LeftWheel,RightWheel,OutputShaft,Brake1,Brake2
0.457000,0.000000,0.000000,0.000000,3.107813,0.663188
0.558000,0.000000,0.000000,0.000000,3.138375,0.665438
0.675000,0.000000,0.000000,0.000000,3.404625,0.691125
0.792000,0.000000,0.000000,0.000000,3.501000,0.696563
0.909000,0.000000,0.000000,0.000000,3.529875,0.699000
1.026000,0.000000,0.000000,0.000000,3.670125,0.707438
1.142000,0.000000,0.000000,0.000000,3.696750,0.708750
1.259000,0.000000,0.000000,0.000000,3.679125,0.708000
1.376000,0.000000,0.000000,0.000000,3.668813,0.708188
1.493000,0.000000,0.000000,0.000000,3.663188,0.707812
1.610000,0.000000,0.000000,0.000000,3.659812,0.707625
1.727000,0.000000,0.000000,0.000000,3.657562,0.708188
1.844000,0.000000,0.000000,0.000000,3.653625,0.708000
1.961000,0.000000,0.000000,0.000000,3.650250,0.708188
2.078000,0.000000,0.000000,0.000000,3.645750,0.707438
2.195000,0.000000,0.000000,0.000000,3.643500,0.707812
2.312000,0.000000,0.000000,0.000000,3.641438,0.707812
2.429000,0.000000,0.000000,0.000000,3.637500,0.708188
2.546000,0.000000,0.000000,0.000000,3.634687,0.707438
2.663000,0.000000,0.000000,0.000000,3.631688,0.707438
2.779000,0.000000,0.000000,0.000000,3.629812,0.707438
2.896000,0.000000,0.000000,0.000000,3.627938,0.707062
3.013000,0.000000,0.000000,0.000000,3.625875,0.707062
3.130000,0.000000,0.000000,0.000000,3.624187,0.707062
3.247000,0.000000,0.000000,0.000000,3.621562,0.707438
3.364000,0.000000,0.000000,0.000000,3.619313,0.707250
3.481000,0.000000,0.000000,0.000000,3.616125,0.706500
3.598000,0.000000,0.000000,0.000000,3.612562,0.706500
3.715000,0.000000,0.000000,0.000000,3.608813,0.705750
3.832000,0.000000,0.000000,0.000000,3.602625,0.705187
3.949000,0.000000,0.000000,0.000000,3.599437,0.704250
4.066000,0.000000,0.000000,0.000000,3.592500,0.701250
4.183000,0.000000,0.000000,0.000000,3.581250,0.693563
4.300000,0.000000,0.000000,0.000000,3.114750,0.663750
4.417000,0.000000,0.000000,0.000000,3.061125,0.662813
4.534000,0.000000,0.000000,0.000000,2.915250,0.655312
4.651000,0.000000,0.000000,0.000000,2.886563,0.654563
4.768000,0.000000,0.000000,0.000000,2.888813,0.654563
4.885000,0.000000,0.000000,0.000000,2.890125,0.654938
5.002000,0.000000,0.000000,0.000000,2.891625,0.655125
5.119000,0.000000,0.000000,0.000000,2.891813,0.655125
5.236000,0.000000,0.000000,0.000000,2.893125,0.654750
5.353000,0.000000,0.000000,0.000000,2.893125,0.654750
5.470000,0.000000,0.000000,0.000000,2.892937,0.655125
5.587000,0.000000,0.000000,0.000000,2.892937,0.655312
5.704000,0.000000,0.000000,0.000000,2.894063,0.655125
5.821000,0.000000,0.000000,0.000000,2.894625,0.654563
5.938000,0.000000,0.000000,0.000000,2.893500,0.655125
6.055000,0.000000,0.000000,0.000000,2.893125,0.655312
6.172000,0.000000,0.000000,0.000000,2.892937,0.654938
6.289000,0.000000,0.000000,0.000000,2.892563,0.654938
6.405000,0.000000,0.000000,0.000000,2.892750,0.654563
6.522000,0.000000,0.000000,0.000000,2.892375,0.654938
6.639000,0.000000,0.000000,0.000000,2.892188,0.654938
6.756000,0.000000,0.000000,0.000000,2.890875,0.654938
6.873000,0.000000,0.000000,0.000000,2.890312,0.654563
6.990000,0.000000,0.000000,0.000000,2.888813,0.654563
7.107000,0.000000,0.000000,0.000000,2.886938,0.654563
7.224000,0.000000,0.000000,0.000000,2.886375,0.654750
7.341000,0.000000,0.000000,0.000000,2.885250,0.654375
7.458000,0.000000,0.000000,0.000000,2.883000,0.654000
7.575000,0.000000,0.000000,0.000000,2.877938,0.654000
7.692000,0.000000,0.000000,0.000000,2.867625,0.653813
7.809000,0.000000,0.000000,0.000000,2.859750,0.653250
7.926000,0.000000,0.000000,0.000000,2.859937,0.653625
8.043000,0.000000,0.000000,0.000000,2.859375,0.653063
8.160000,0.000000,0.000000,0.000000,2.859188,0.653250
8.277000,0.000000,0.000000,0.000000,2.858063,0.653437
8.394000,0.000000,0.000000,0.000000,2.837063,0.651937
8.511000,0.000000,0.000000,0.000000,2.753813,0.647250
8.628000,0.000000,0.000000,0.000000,2.691000,0.644813
8.744000,0.000000,0.000000,0.000000,2.667562,0.643500
8.861000,0.000000,0.000000,0.000000,2.646938,0.642563
8.978000,0.000000,0.000000,0.000000,2.636812,0.642000
9.095000,0.000000,0.000000,0.000000,2.632125,0.641625
9.212000,0.000000,0.000000,0.000000,2.628375,0.641250
9.329000,0.000000,0.000000,0.000000,2.628187,0.641625
9.446000,0.000000,0.000000,0.000000,2.628937,0.641438
9.563000,0.000000,0.000000,0.000000,2.629688,0.640875
9.680000,0.000000,0.000000,0.000000,2.628937,0.640875
9.797000,0.000000,0.000000,0.000000,2.599125,0.640500
9.914000,0.000000,0.000000,0.000000,2.599688,0.640500
10.031000,0.000000,0.000000,0.000000,2.599313,0.640500
10.148000,0.000000,0.000000,0.000000,2.598938,0.640875
10.265000,0.000000,0.000000,0.000000,2.598375,0.640125
10.382000,0.000000,0.000000,0.000000,2.597812,0.640125
10.499000,0.000000,0.000000,0.000000,2.597250,0.640500
10.617000,0.000000,0.000000,0.000000,2.594813,0.639750
10.734000,0.000000,0.000000,0.000000,2.594625,0.640125
10.851000,0.000000,0.000000,0.000000,2.593688,0.639938
10.968000,0.000000,0.000000,0.000000,2.594250,0.639938
11.085000,0.000000,0.000000,0.000000,2.594063,0.639938
11.202000,0.000000,0.000000,0.000000,2.595000,0.639938
11.319000,0.000000,0.000000,0.000000,2.594813,0.639938
11.437000,0.000000,0.000000,0.000000,2.595375,0.639750
11.554000,0.000000,0.000000,0.000000,2.593688,0.639938
11.671000,0.000000,0.000000,0.000000,2.593875,0.640125
11.788000,0.000000,0.000000,0.000000,2.592750,0.639938
11.905000,0.000000,0.000000,0.000000,2.592187,0.639562
12.022000,0.000000,0.000000,0.000000,2.591438,0.639562
12.139000,0.000000,0.000000,0.000000,2.590125,0.639562
12.256000,0.000000,0.000000,0.000000,2.590125,0.639938
12.374000,0.000000,0.000000,0.000000,2.587875,0.639938
12.491000,0.000000,0.000000,0.000000,2.585625,0.639938
12.608000,0.000000,0.000000,0.000000,2.585063,0.639938
12.725000,0.000000,0.000000,0.000000,2.584875,0.639562
12.842000,0.000000,0.000000,0.000000,2.584500,0.639750
12.959000,0.000000,0.000000,0.000000,2.583937,0.639375
13.076000,0.000000,0.000000,0.000000,2.584687,0.639750
13.194000,0.000000,0.000000,0.000000,2.583563,0.639188
13.311000,0.000000,0.000000,0.000000,2.583375,0.639750
13.428000,0.000000,0.000000,0.000000,2.585438,0.640125
13.545000,0.000000,0.000000,0.000000,2.592750,0.643875
13.662000,0.000000,0.000000,0.000000,2.601187,0.648000
13.779000,0.000000,0.000000,0.000000,2.605313,0.647812
13.896000,0.000000,0.000000,0.000000,2.598562,0.646500
